UserID,Time,TaskLoad,Engagement
004,1661806432.998,1.973,0.306
004,1661806433.499,0.924,0.373
004,1661806433.999,0.717,0.317
004,1661806434.499,1.343,0.385
004,1661806434.999,3.182,0.396
004,1661806435.499,2.118,0.631
004,1661806435.999,1.744,0.522
004,1661806436.499,0.908,0.578
004,1661806436.999,1.247,0.453
004,1661806437.499,0.933,0.399
004,1661806437.999,2.415,0.392
004,1661806438.499,22.208,0.084
004,1661806438.999,1.779,0.356
004,1661806439.499,1.334,0.619
004,1661806439.999,1.622,0.455
004,1661806440.499,1.418,0.669
004,1661806440.999,3,0.672
004,1661806441.499,2.935,0.761
004,1661806441.999,3.653,0.66
004,1661806442.499,1.774,0.473
004,1661806442.999,1.536,0.421
004,1661806443.500,2.1,0.389
004,1661806444.000,1.405,0.363
004,1661806444.500,1.196,0.359
004,1661806445.000,1.531,0.431
004,1661806445.500,1.428,0.36
004,1661806446.000,1.643,0.453
004,1661806446.500,0.962,0.416
004,1661806447.000,1.884,0.25
004,1661806447.500,2.689,0.449
004,1661806448.000,0.897,0.267
004,1661806448.500,1.267,0.281
004,1661806449.000,1.675,0.46
004,1661806449.500,1.473,0.364
004,1661806450.000,1.786,0.385
004,1661806450.500,1.559,0.572
004,1661806451.000,0.896,0.379
004,1661806451.500,1.423,0.347
004,1661806452.000,2.337,0.35
004,1661806452.500,1.825,0.359
004,1661806453.000,4.032,0.187
004,1661806453.501,5.797,0.159
004,1661806454.001,1.737,0.404
004,1661806454.501,1.498,0.405
004,1661806455.001,1.023,0.381
004,1661806455.501,2.25,0.302
004,1661806456.001,1.996,0.444
004,1661806456.501,1.746,0.464
004,1661806457.001,2.339,0.985
004,1661806457.501,3.7,0.396
004,1661806458.001,1.704,0.287
004,1661806458.501,2.234,0.236
004,1661806459.001,1.392,0.37
004,1661806459.501,1.407,0.308
004,1661806460.001,1.242,0.425
004,1661806460.501,0.979,0.356
004,1661806461.001,1.767,0.501
004,1661806461.501,1.749,0.579
004,1661806462.001,1.969,0.322
004,1661806462.501,0.963,0.276
004,1661806463.002,2.596,0.425
004,1661806463.502,1.071,0.286
004,1661806464.002,0.998,0.62
004,1661806464.502,0.732,0.298
004,1661806465.002,0.845,0.462
004,1661806465.502,4.065,0.222
004,1661806466.002,2.589,0.441
004,1661806466.502,2.448,0.172
004,1661806467.002,1.906,0.173
004,1661806467.502,2.273,0.33
004,1661806468.002,4.026,0.453
004,1661806468.502,1.292,0.273
004,1661806469.002,1.133,0.411
004,1661806469.502,1.103,0.339
004,1661806470.002,2.809,0.281
004,1661806470.502,8.394,0.136
004,1661806471.002,0.776,0.309
004,1661806471.502,0.834,0.362
004,1661806472.002,1.921,0.382
004,1661806472.502,0.965,0.283
004,1661806473.003,2.681,0.276
004,1661806473.503,2.395,0.29
004,1661806474.003,1.702,0.405
004,1661806474.503,2.637,0.49
004,1661806475.003,1.131,0.474
004,1661806475.503,1.466,0.836
004,1661806476.003,1.744,0.665
004,1661806476.503,1.645,0.448
004,1661806477.003,1.547,0.319
004,1661806477.503,1.977,0.48
004,1661806478.003,1.365,0.646
004,1661806478.503,2.117,0.376
004,1661806479.003,2.429,0.396
004,1661806479.503,1.602,0.421
004,1661806480.003,2.868,0.4
004,1661806480.503,1.827,0.233
004,1661806481.003,1.071,0.408
004,1661806481.503,2.65,0.455
004,1661806482.003,1.69,0.476
004,1661806482.503,2.437,0.585
004,1661806483.004,1.168,0.367
004,1661806483.504,2.521,0.248
