Time,pupilDilation,gazeX,gazeY,gazeVelocity,movingRmssd,deltaGSRsmooth,Agg_stress,Agg_cogLoad
1652459371.9739063,0.325859715,1221.2913623771,566.4064993997,-0.3456435932,0.2114724747,-0.0582158922,0.0766282913,0.1338219114
1652459372.9739063,0.21264157,1478.9313066587,563.16083636,-0.281203507,0.2114724747,1.1745418304,0.6930071525,0.6935917002
1652459373.9739063,0.0992992852,1662.9349564095,568.6488058683,-0.3049436225,0.2114724747,0.0741833191,0.1428278969,0.0867413022
1652459374.9739063,-0.1708498055,1803.64101893,574.9190273556,-0.2847553968,0.2095423513,-0.9988453638,-0.3946515062,-0.5848475846
1652459375.9739063,-0.2084251942,2136.281097092,580.0702142726,-0.3323699412,0.093508574,-0.1508225676,-0.0286569968,-0.1796238809
1652459376.9739063,-0.2868888125,2186.9411379113,681.2310624864,-0.1423930855,0.0414309849,1.9522873343,0.9968591596,0.8326992609
1652459377.9739063,-0.6651251305,1710.2048697962,732.3079413254,-0.3443398661,0.0414309849,-0.0566949754,-0.0076319953,-0.360910053
1652459378.9739063,-0.5242897854,1713.5929676934,708.9701950438,-0.2798810632,0.0414309849,-0.7028977229,-0.330733369,-0.6135937541
1652459379.9739063,-0.1784886573,1689.3795602784,687.2993362506,-0.2286439222,0.0414309849,1.1571075534,0.5992692692,0.4893094481
1652459380.9739063,-2.7023921972,1231.0944952552,445.2525673513,0.6149945328,0.0414309849,0.098725411,0.070078198,-1.3018333931
1652459381.9739063,0.9733550417,1692.2376526869,629.1755929292,-0.374989117,0.0414309849,-1.6747716783,-0.8166703467,-0.3507083183
1652459382.9739063,0.0654903987,1665.599196379,636.2592106356,-0.3827917346,0.0414309849,-0.9127321948,-0.435650605,-0.4236208981
1652459383.9739063,0.4499710757,1730.9554325803,665.7927930266,-0.4133242217,0.0414309849,1.437485878,0.7394584314,0.9437284769
1652459384.9739063,0.8654773016,1727.7942891278,670.2570242475,-0.3996265774,0.0414309849,0.2982616001,0.1698462925,0.5818694508
1652459385.9739063,0.9770767949,1725.6662699841,681.7947524282,-0.4088582656,0.0414309849,-0.7700470945,-0.3643080548,0.1035148502
1652459386.9739063,0.5781797173,1730.2260064869,670.604763687,-0.3989361163,0.0414309849,-0.6635823886,-0.3110757019,-0.0427013356
1652459387.9739063,0.5621208622,1715.6929884839,707.0209084595,0.2515142388,0.0414309849,0.8232963697,0.4323636773,0.6927086159
1652459388.9739063,-0.0536004148,1734.6766416972,665.3216154632,-0.4055293201,0.0414309849,-0.5432361982,-0.2509026067,-0.2984183065
1652459389.9739063,0.7048742214,1734.4197570764,668.3711510939,-0.3985338754,0.0414309849,-0.2099865843,-0.0842777997,0.2474438185
1652459390.9739063,0.5346786727,1731.8834945368,654.5586727799,-0.4288028462,0.0414309849,0.9345739994,0.4880024921,0.7346263361
1652459391.9739063,0.4658999474,1745.1734543428,662.9361491614,-0.414378695,0.0414309849,1.4973193698,0.7693751773,0.9816096586
1652459392.9739063,0.5484928611,1735.9930172036,674.7232915624,-0.3803608838,0.0414309849,-0.6533201267,-0.3059445709,-0.0524136328
1652459393.9739063,-0.1679669189,1730.0960225059,671.2749014983,-0.3974105156,0.0393472291,-1.6805180644,-0.8205854177,-0.9242424917
1652459394.9739063,0.1029210435,1744.2093821404,664.1193274222,-0.3977802673,-0.081684254,-0.606296487,-0.3439903705,-0.2516877217
1652459395.9739063,0.2545633894,1737.1897726527,676.5096473649,-0.3200152757,-0.1281507223,0.1458560629,0.0088526703,0.2002097261
1652459396.9739063,-0.0305441399,1762.1464507555,634.7141503126,-0.3475432788,-0.1281507223,1.0532763673,0.4625628225,0.5113661137
1652459397.9739063,-0.14776462,1769.175155034,638.0896252283,-0.3525079188,-0.1281507223,-0.3451081244,-0.2366294233,-0.2464363722
1652459398.9739063,-0.4161663426,1764.7264752663,626.2016203088,-0.4064346753,-0.1281507223,-0.0158267349,-0.0719887286,-0.2159965387
1652459399.9739063,-0.5866317363,1768.1587210006,652.6478906904,-0.3715060522,-0.1281507223,0.1462581794,0.0090537286,-0.2201867785
1652459400.9739063,-0.4585723059,1759.6297751621,637.7198509259,-0.3943128422,-0.1281507223,-0.5352229465,-0.3316868344,-0.4968976262
1652459401.9739063,-0.4121940437,1757.8201792388,640.8624611901,-0.385688238,-0.1281507223,-0.3627018503,-0.2454262863,-0.387447947
1652459402.9739063,-0.2786544506,1759.3578110027,650.3728826876,-0.4085709948,-0.128144098,-0.4748770864,-0.3015105922,-0.3767657685
1652459403.9739063,-0.3103712107,1762.5119380309,648.1361522331,-0.371689996,-0.0289023979,-0.3482681561,-0.188585277,-0.3293196834
1652459404.9739063,-0.4828367028,1776.4000502093,643.4007470475,-0.3869482136,-0.0929326766,0.1976084633,0.0523378934,-0.1426141197
1652459405.9739063,-0.7554610821,1735.0263259644,616.5330802164,-0.2732398064,-0.1281507223,-0.1716449358,-0.149897829,-0.463553009
1652459406.9739063,-0.779142892,1705.8603714799,651.0495105123,-0.3341619351,-0.1281507223,-0.3898727877,-0.259011755,-0.5845078398
1652459407.9739063,-0.7786064387,1803.2788044154,664.6856133401,-0.1445052959,-0.1281507223,-0.1547459392,-0.1414483307,-0.466676189
1652459408.9739063,-0.8008823405,1873.5546268572,667.3553059461,-0.1712386385,-0.1281507223,0.1627662994,0.0173077886,-0.3190580206
1652459409.9739063,-0.5082810358,417.2923902651,537.8414333921,3.1682755104,-0.1281507223,1.3317257811,0.6017875294,0.4117223726
1652459410.9739063,0.2885533649,1467.1414108308,809.6024016666,0.8375425737,-0.1281507223,-0.5129001552,-0.3205254387,-0.1121733952
1652459411.9739063,0.1920991592,1764.7412390887,451.4494025991,0.1280752545,-0.1281507223,-0.7438640597,-0.436007391,-0.2758824502
1652459412.9739063,0.3226765278,150.4147173956,1139.9602602803,0.1844194925,-0.1281507223,1.7746457988,0.8232475383,1.0486611633
1652459413.9739063,0.380117902,1286.0485930874,619.4162255977,0.2266142008,-0.1247973758,0.9683171644,0.4217598943,0.6742175332
1652459414.9739063,1.3118303356,1709.7101128991,646.5004937957,-0.3294511851,-0.0006728466,-1.2467251781,-0.6236990123,0.0325525787
1652459415.9739063,2.8937838968,1721.7889622273,691.4532288751,-0.3665099162,0.0096084372,-0.7736226551,-0.382007109,1.0600806208
1652459416.9739063,1.8271695115,1225.8477256079,332.511120203,2.3549927399,-0.1215004592,0.2702542259,0.0743768833,1.0487118687
1652459417.9739063,-1.0941903228,1516.1830369308,563.1885510023,0.5623647667,-0.1281507223,0.0958817379,-0.0161344922,-0.4991542925
